| Atividade                                | Mês 1       | Mês 2       | Mês 3       | Mês 4       | Mês 5        | Mês 6        | Mês 7        | Mês 8        |
| ---------------------------------------- | ----------- | ----------- | ----------- | ----------- | ------------ | ------------ | ------------ | ------------ |
| A1. Levantamento bibliográfico           | Sem. 1–2    |             |             |             |              |              |              |              |
| A2. Especificação da DSL                 | Sem. 3–4    |             |             |             |              |              |              |              |
| A3. Parser/compilador da DSL             |             | Sem. 1–2    |             |             |              |              |              |              |
| A4. Geração geométrica (Blender)         |             | Sem. 2–3    |             |             |              |              |              |              |
| A5. Template OpenFOAM (caso base)        |             | Sem. 3–4    |             |             |              |              |              |              |
| A6. Pipeline malha/solver                |             |             | Sem. 1–2    |             |              |              |              |              |
| A7. Pós-processamento (variáveis)        |             |             | Sem. 2      |             |              |              |              |              |
| A8. Ingestão e persistência (DB/MinIO)   |             |             | Sem. 3      |             |              |              |              |              |
| A9. API (FastAPI)                        |             |             | Sem. 3–4    |             |              |              |              |              |
| A10. Frontend (React/Plotly/Three.js)    |             |             |             | Sem. 1–2    |              |              |              |              |
| A11. Integração ponta a ponta (E2E)      |             |             |             | Sem. 2      |              |              |              |              |
| A12. Validação inicial (numérica/física) |             |             |             | Sem. 3      |              |              |              |              |
| A13. Documentação TCC1                   |             |             |             | Sem. 3–4    |              |              |              |              |
| A14. Apresentação (slides/ensaio)        |             |             |             | Sem. 4      |              |              |              |              |
| A15. Gestão e checkpoints                | **Semanal** | **Semanal** | **Semanal** | **Semanal** | **Semanal**  | **Semanal**  | **Semanal**  | **Semanal**  |
| A16. Refino da DSL e do compilador       |             |             |             |             | Sem. 1–2     |              |              |              |
| A17. Otimiz. de modelagem (Blender)      |             |             |             |             | Sem. 2–3     |              |              |              |
| A18. Automação de estudos e DOE          |             |             |             |             | Sem. 3–4     | Sem. 1–4     |              |              |
| A19. GCI completo e validação Δp/L       |             |             |             |             |              | Sem. 2–4     |              |              |
| A20. Comparador no dashboard             |             |             |             |             |              |              | Sem. 1–2     |              |
| A21. Relatórios automáticos              |             |             |             |             |              |              | Sem. 2–3     |              |
| A22. Hardening do backend                |             |             |             |             |              |              | Sem. 3–4     |              |
| A23. Performance e execução avançada     |             |             |             |             |              |              | Sem. 3–4     |              |
| A24. Pacote de replicação                |             |             |             |             |              |              |              | Sem. 1       |
| A25. Monografia TCC2                     |             |             |             |             |              |              |              | Sem. 1–3     |
| A26. Defesa e demonstração               |             |             |             |             |              |              |              | Sem. 3–4     |
| A27. Publicação e depósito               |             |             |             |             |              |              |              | Sem. 2–4     |
| A28. Auditoria de reprodutibilidade      |             |             |             |             |              |              |              | Sem. 3–4     |
| A29. Gestão e checkpoints TCC2           |             |             |             |             | **Contínuo** | **Contínuo** | **Contínuo** | **Contínuo** |
